Datetime,Water Level (m)
2024-03-27 18:00:00,0.027172474
2024-03-27 19:00:00,-0.26307195
2024-03-27 20:00:00,-0.5713157
2024-03-27 21:00:00,-0.81379074
2024-03-27 22:00:00,-0.94008094
2024-03-27 23:00:00,-0.89528924
2024-03-28 00:00:00,-0.69635385
2024-03-28 01:00:00,-0.39474133
2024-03-28 02:00:00,-0.059404377
2024-03-28 03:00:00,0.21314412
2024-03-28 04:00:00,0.3513058
2024-03-28 05:00:00,0.3466353
2024-03-28 06:00:00,0.20535189
2024-03-28 07:00:00,-0.04083913
2024-03-28 08:00:00,-0.31778815
2024-03-28 09:00:00,-0.55105627
2024-03-28 10:00:00,-0.702722
2024-03-28 11:00:00,-0.7210158
2024-03-28 12:00:00,-0.599678
2024-03-28 13:00:00,-0.3653654
2024-03-28 14:00:00,-0.09682778
2024-03-28 15:00:00,0.14430757
2024-03-28 16:00:00,0.26468724
2024-03-28 17:00:00,0.24695165
2024-03-28 18:00:00,0.08735702
2024-03-28 19:00:00,-0.16621545
2024-03-28 20:00:00,-0.4563786
2024-03-28 21:00:00,-0.7135292
2024-03-28 22:00:00,-0.87485796
2024-03-28 23:00:00,-0.89801794
2024-03-29 00:00:00,-0.77988976
2024-03-29 01:00:00,-0.54505676
2024-03-29 02:00:00,-0.23848048
2024-03-29 03:00:00,0.05687511
2024-03-29 04:00:00,0.25817516
2024-03-29 05:00:00,0.33132306
2024-03-29 06:00:00,0.2715868
2024-03-29 07:00:00,0.08670116
2024-03-29 08:00:00,-0.15655787
2024-03-29 09:00:00,-0.401736
2024-03-29 10:00:00,-0.59430414
2024-03-29 11:00:00,-0.6702784
2024-03-29 12:00:00,-0.62221134
2024-03-29 13:00:00,-0.46629688
2024-03-29 14:00:00,-0.24222463
2024-03-29 15:00:00,-0.010031127
2024-03-29 16:00:00,0.15148388
2024-03-29 17:00:00,0.1934006
2024-03-29 18:00:00,0.10281486
2024-03-29 19:00:00,-0.0818178
2024-03-29 20:00:00,-0.33408403
2024-03-29 21:00:00,-0.59516114
2024-03-29 22:00:00,-0.7913835
2024-03-29 23:00:00,-0.8746895
2024-03-30 00:00:00,-0.82919556
2024-03-30 01:00:00,-0.6714679
2024-03-30 02:00:00,-0.4233409
2024-03-30 03:00:00,-0.13537428
2024-03-30 04:00:00,0.10722043
2024-03-30 05:00:00,0.24380317
2024-03-30 06:00:00,0.2593468
2024-03-30 07:00:00,0.15519994
2024-03-30 08:00:00,-0.026595552
2024-03-30 09:00:00,-0.2488197
2024-03-30 10:00:00,-0.45036438
2024-03-30 11:00:00,-0.5810988
2024-03-30 12:00:00,-0.604803
2024-03-30 13:00:00,-0.52792066
2024-03-30 14:00:00,-0.37380674
2024-03-30 15:00:00,-0.18454956
2024-03-30 16:00:00,-0.019218504
2024-03-30 17:00:00,0.07189187
2024-03-30 18:00:00,0.051879473
2024-03-30 19:00:00,-0.055499777
2024-03-30 20:00:00,-0.23227602
2024-03-30 21:00:00,-0.45133778
2024-03-30 22:00:00,-0.6328479
2024-03-30 23:00:00,-0.76151466
2024-03-31 00:00:00,-0.7924767
2024-03-31 01:00:00,-0.70615005
2024-03-31 02:00:00,-0.5317182
2024-03-31 03:00:00,-0.31149763
2024-03-31 04:00:00,-0.07791657
2024-03-31 05:00:00,0.11502799
2024-03-31 06:00:00,0.2070812
2024-03-31 07:00:00,0.18662056
2024-03-31 08:00:00,0.09095455
2024-03-31 09:00:00,-0.061108507
2024-03-31 10:00:00,-0.25115472
2024-03-31 11:00:00,-0.4170568
2024-03-31 12:00:00,-0.5013268
2024-03-31 13:00:00,-0.5110169
2024-03-31 14:00:00,-0.44355077
2024-03-31 15:00:00,-0.32361963
2024-03-31 16:00:00,-0.178721
2024-03-31 17:00:00,-0.07255793
